,Area,Item,Year,hg/ha_yield,Average_Rainfall_mm_per_year,Pesticides_Tonnes,Avg_Temp
119,Bindura,Maize,2004,4512,89,1255.02,17.88
120,Bindura,Maize,2004,95078,89,1255.02,17.88
121,Bindura,Maize,2004,21374,89,1255.02,17.88
122,Bindura,Maize,2004,7999,89,1255.02,17.88
123,Bindura,Maize,2005,16115,89,2697.09,17.36
124,Bindura,Maize,2005,136768,89,2697.09,17.36
125,Bindura,Maize,2005,19598,89,2697.09,17.36
126,Bindura,Maize,2005,12667,89,2697.09,17.36
127,Bindura,Maize,2005,8924,89,2697.09,17.36
128,Bindura,Maize,2006,17154,89,479.77,16.76
129,Bindura,Maize,2006,134629,89,479.77,16.76
130,Bindura,Maize,2006,17861,89,479.77,16.76
131,Bindura,Maize,2006,14750,89,479.77,16.76
132,Bindura,Maize,2006,13090,89,479.77,16.76
133,Bindura,Maize,2007,21417,89,401.22,17.84
134,Bindura,Maize,2007,141042,89,401.22,17.84
135,Bindura,Maize,2007,15000,89,401.22,17.84
136,Bindura,Maize,2007,40000,89,401.22,17.84
137,Bindura,Maize,2007,8016,89,401.22,17.84
138,Bindura,Maize,2008,17222,89,322.84,17.14
139,Bindura,Maize,2008,160256,89,322.84,17.14
140,Bindura,Maize,2008,15000,89,322.84,17.14
141,Bindura,Maize,2008,24500,89,322.84,17.14
142,Bindura,Maize,2008,8847,89,322.84,17.14
143,Bindura,Maize,2009,22375,89,654.45,17.97
144,Bindura,Maize,2009,153532,89,654.45,17.97
145,Bindura,Maize,2009,13942,89,654.45,17.97
146,Bindura,Maize,2009,27000,89,654.45,17.97
147,Bindura,Maize,2009,10711,89,654.45,17.97
148,Bindura,Maize,2020,36186,89,603.67,17.9
149,Bindura,Maize,2020,166143,89,603.67,17.9
150,Bindura,Maize,2020,13052,89,603.67,17.9
151,Bindura,Maize,2020,69500,89,603.67,17.9
152,Bindura,Maize,2020,9194,89,603.67,17.9
153,Bindura,Maize,2021,27175,89,710.11,18.13
154,Bindura,Maize,2021,147018,89,710.11,18.13
155,Bindura,Maize,2021,12314,89,710.11,18.13
156,Bindura,Maize,2021,27750,89,710.11,18.13
157,Bindura,Maize,2021,11104,89,710.11,18.13
158,Bindura,Maize,2022,33480,89,816.55,17.85
159,Bindura,Maize,2022,183774,89,816.55,17.85
160,Bindura,Maize,2022,12959,89,816.55,17.85
161,Bindura,Maize,2022,33900,89,816.55,17.85
162,Bindura,Maize,2022,10739,89,816.55,17.85
163,Bindura,Maize,2014,31729,89,3747.86,17.38
164,Bindura,Maize,2014,203585,89,3747.86,17.38
165,Bindura,Maize,2014,12829,89,3747.86,17.38
166,Bindura,Maize,2014,43316,89,3747.86,17.38
167,Bindura,Maize,2014,13582,89,3747.86,17.38
168,Bindura,Maize,2015,33864,89,3662.87,17.19
169,Bindura,Maize,2015,216267,89,3662.87,17.19
170,Bindura,Maize,2015,12998,89,3662.87,17.19
171,Bindura,Maize,2015,33486,89,3662.87,17.19
172,Bindura,Maize,2015,15057,89,3662.87,17.19
173,Bindura,Maize,2016,65668,89,4110.72,18.13
174,Bindura,Maize,2016,220689,89,4110.72,18.13
175,Bindura,Maize,2016,12769,89,4110.72,18.13
176,Bindura,Maize,2016,56728,89,4110.72,18.13
177,Bindura,Maize,2016,15068,89,4110.72,18.13
178,Bindura,Maize,2017,85625,89,5390.79,17.42
179,Bindura,Maize,2017,189927,89,5390.79,17.42
180,Bindura,Maize,2017,13375,89,5390.79,17.42
181,Bindura,Maize,2017,119059,89,5390.79,17.42
182,Bindura,Maize,2017,12742,89,5390.79,17.42
183,Bindura,Maize,2018,44714,89,11556.12,17.55
184,Bindura,Maize,2018,236393,89,11556.12,17.55
185,Bindura,Maize,2018,13952,89,11556.12,17.55
186,Bindura,Maize,2018,61786,89,11556.12,17.55
187,Bindura,Maize,2018,11038,89,11556.12,17.55
188,Bindura,Maize,2019,30914,89,3867.99,17.78
189,Bindura,Maize,2019,250764,89,3867.99,17.78
190,Bindura,Maize,2019,14594,89,3867.99,17.78
191,Bindura,Maize,2019,90465,89,3867.99,17.78
192,Bindura,Maize,2019,15975,89,3867.99,17.78
193,Bindura,Maize,2020,25827,89,1295.88,17.59
194,Bindura,Maize,2020,270526,89,1295.88,17.59
195,Bindura,Maize,2020,15305,89,1295.88,17.59
196,Bindura,Maize,2020,30286,89,1295.88,17.59
197,Bindura,Maize,2020,14838,89,1295.88,17.59
198,Bindura,Maize,2021,23374,89,13861.76,17.79
199,Bindura,Maize,2021,292806,89,13861.76,17.79
200,Bindura,Maize,2021,16081,89,13861.76,17.79
201,Bindura,Maize,2021,100000,89,13861.76,17.79
202,Bindura,Maize,2021,17405,89,13861.76,17.79
203,Bindura,Maize,2022,25583,89,17379.76,17.91
204,Bindura,Maize,2022,304291,89,17379.76,17.91
205,Bindura,Maize,2022,16667,89,17379.76,17.91
206,Bindura,Maize,2022,206000,89,17379.76,17.91
207,Bindura,Maize,2022,17639,89,17379.76,17.91
208,Bindura,Maize,2024,33649,89,17278.65,17.65
209,Bindura,Maize,2024,303218,89,17278.65,17.65
210,Bindura,Maize,2024,17778,89,17278.65,17.65
211,Bindura,Maize,2024,60000,89,17278.65,17.65
212,Bindura,Maize,2024,19100,89,17278.65,17.65
213,Bindura,Maize,2000,41177,1010,64,24.12
214,Bindura,Maize,2000,2736,1010,64,24.12
215,Bindura,Maize,2000,40000,1010,64,24.12
216,Bindura,Maize,2000,9512,1010,64,24.12
217,Bindura,Maize,2000,89342,1010,64,24.12
218,Bindura,Maize,2000,7995,1010,64,24.12
219,Bindura,Maize,2001,40295,1010,79,24.02
220,Bindura,Maize,2001,4013,1010,79,24.02
221,Bindura,Maize,2001,40000,1010,79,24.02
222,Bindura,Maize,2001,10000,1010,79,24.02
223,Bindura,Maize,2001,83001,1010,79,24.02
224,Bindura,Maize,2001,8000,1010,79,24.02
225,Bindura,Maize,2002,42295,1010,23,23.96
226,Bindura,Maize,2002,3778,1010,23,23.96
227,Bindura,Maize,2002,40000,1010,23,23.96
228,Bindura,Maize,2002,9106,1010,23,23.96
229,Bindura,Maize,2002,90000,1010,23,23.96
230,Bindura,Maize,2002,8000,1010,23,23.96
231,Bindura,Maize,2003,42295,1010,169,24.15
232,Bindura,Maize,2003,2627,1010,169,24.15
233,Bindura,Maize,2003,70000,1010,169,24.15
234,Bindura,Maize,2003,8000,1010,169,24.15
235,Bindura,Maize,2003,88095,1010,169,24.15
236,Bindura,Maize,2003,8876,1010,169,24.15
237,Bindura,Maize,2004,58596,1010,25.5,24.04
238,Bindura,Maize,2004,2463,1010,25.5,24.04
239,Bindura,Maize,2004,90000,1010,25.5,24.04
240,Bindura,Maize,2004,8750,1010,25.5,24.04
241,Bindura,Maize,2004,83192,1010,25.5,24.04
242,Bindura,Maize,2004,10000,1010,25.5,24.04
243,Bindura,Maize,2005,51000,1010,336,24.56
244,Bindura,Maize,2005,3517,1010,336,24.56
245,Bindura,Maize,2005,76738,1010,336,24.56
246,Bindura,Maize,2005,14615,1010,336,24.56
247,Bindura,Maize,2005,81138,1010,336,24.56
248,Bindura,Maize,2005,11855,1010,336,24.56
249,Bindura,Maize,2006,48077,1010,40,24.11
250,Bindura,Maize,2006,6993,1010,40,24.11
251,Bindura,Maize,2006,70000,1010,40,24.11
252,Bindura,Maize,2006,17500,1010,40,24.11
253,Bindura,Maize,2006,85455,1010,40,24.11
254,Bindura,Maize,2006,13738,1010,40,24.11
255,Bindura,Maize,2007,44205,1010,40,24.06
256,Bindura,Maize,2007,5959,1010,40,24.06
257,Bindura,Maize,2007,68571,1010,40,24.06
258,Bindura,Maize,2007,20200,1010,40,24.06
259,Bindura,Maize,2007,78098,1010,40,24.06
260,Bindura,Maize,2007,15509,1010,40,24.06
261,Bindura,Maize,2008,55728,1010,40,24.96
262,Bindura,Maize,2008,7396,1010,40,24.96
263,Bindura,Maize,2008,62724,1010,40,24.96
264,Bindura,Maize,2008,20200,1010,40,24.96
265,Bindura,Maize,2008,76256,1010,40,24.96
266,Bindura,Maize,2008,17143,1010,40,24.96
267,Bindura,Maize,2009,59821,1010,40,24.37
268,Bindura,Maize,2009,6361,1010,40,24.37
269,Bindura,Maize,2009,54597,1010,40,24.37
270,Bindura,Maize,2009,14235,1010,40,24.37
271,Bindura,Maize,2009,82865,1010,40,24.37
272,Bindura,Maize,2009,17391,1010,40,24.37
273,Bindura,Maize,2020,82992,1010,40,24.41
274,Bindura,Maize,2020,5745,1010,40,24.41
275,Bindura,Maize,2020,29885,1010,40,24.41
276,Bindura,Maize,2020,13454,1010,40,24.41
277,Bindura,Maize,2020,3333,1010,40,24.41
278,Bindura,Maize,2020,2333,1010,40,24.41
279,Bindura,Maize,2020,34938,1010,40,24.41
280,Bindura,Maize,2020,17023,1010,40,24.41
281,Bindura,Maize,2021,94072,1010,40,24.43
282,Bindura,Maize,2021,5754,1010,40,24.43
283,Bindura,Maize,2021,42552,1010,40,24.43
284,Bindura,Maize,2021,13701,1010,40,24.43
285,Bindura,Maize,2021,3571,1010,40,24.43
286,Bindura,Maize,2021,2500,1010,40,24.43
287,Bindura,Maize,2021,44458,1010,40,24.43
288,Bindura,Maize,2021,16667,1010,40,24.43
289,Bindura,Maize,2022,110071,1010,40,24.79
290,Bindura,Maize,2022,6706,1010,40,24.79
291,Bindura,Maize,2022,42754,1010,40,24.79
292,Bindura,Maize,2022,13198,1010,40,24.79
293,Bindura,Maize,2022,3400,1010,40,24.79
294,Bindura,Maize,2022,2857,1010,40,24.79
295,Bindura,Maize,2022,42190,1010,40,24.79
296,Bindura,Maize,2022,15455,1010,40,24.79
297,Bindura,Maize,2014,125605,1010,40,24.22
298,Bindura,Maize,2014,5404,1010,40,24.22
299,Bindura,Maize,2014,20150,1010,40,24.22
300,Bindura,Maize,2014,11584,1010,40,24.22
301,Bindura,Maize,2014,3333,1010,40,24.22
302,Bindura,Maize,2014,3600,1010,40,24.22
303,Bindura,Maize,2014,45360,1010,40,24.22
304,Bindura,Maize,2014,12442,1010,40,24.22
305,Bindura,Maize,2015,117628,1010,40,24.41
306,Bindura,Maize,2015,6736,1010,40,24.41
307,Bindura,Maize,2015,23646,1010,40,24.41
308,Bindura,Maize,2015,6977,1010,40,24.41
309,Bindura,Maize,2015,3333,1010,40,24.41
310,Bindura,Maize,2015,3793,1010,40,24.41
311,Bindura,Maize,2015,46159,1010,40,24.41
312,Bindura,Maize,2015,10946,1010,40,24.41
313,Bindura,Maize,2016,117201,1010,40,24.14
314,Bindura,Maize,2016,4687,1010,40,24.14
315,Bindura,Maize,2016,52148,1010,40,24.14
316,Bindura,Maize,2016,4947,1010,40,24.14
317,Bindura,Maize,2016,4091,1010,40,24.14
318,Bindura,Maize,2016,4286,1010,40,24.14
319,Bindura,Maize,2016,44240,1010,40,24.14
320,Bindura,Maize,2016,10000,1010,40,24.14
321,Bindura,Maize,2017,115387,1010,40,24.24
322,Bindura,Maize,2017,5091,1010,40,24.24
323,Bindura,Maize,2017,62138,1010,40,24.24
324,Bindura,Maize,2017,5143,1010,40,24.24
325,Bindura,Maize,2017,4031,1010,40,24.24
326,Bindura,Maize,2017,6883,1010,40,24.24
327,Bindura,Maize,2017,58855,1010,40,24.24
328,Bindura,Maize,2017,10000,1010,40,24.24
329,Bindura,Maize,2018,148084,1010,40,24.27
330,Bindura,Maize,2018,7946,1010,40,24.27
331,Bindura,Maize,2018,85085,1010,40,24.27
332,Bindura,Maize,2018,5084,1010,40,24.27
333,Bindura,Maize,2018,929,1010,40,24.27
334,Bindura,Maize,2018,8575,1010,40,24.27
335,Bindura,Maize,2018,65437,1010,40,24.27
336,Bindura,Maize,2018,10000,1010,40,24.27
337,Bindura,Maize,2019,151759,1010,40,24.33
338,Bindura,Maize,2019,6614,1010,40,24.33
339,Bindura,Maize,2019,86509,1010,40,24.33
340,Bindura,Maize,2019,6028,1010,40,24.33
341,Bindura,Maize,2019,2480,1010,40,24.33
342,Bindura,Maize,2019,4449,1010,40,24.33
343,Bindura,Maize,2019,66475,1010,40,24.33
344,Bindura,Maize,2019,10000,1010,40,24.33
345,Bindura,Maize,2020,155782,1010,40,24.44
346,Bindura,Maize,2020,7200,1010,40,24.44
347,Bindura,Maize,2020,87425,1010,40,24.44
348,Bindura,Maize,2020,7403,1010,40,24.44
349,Bindura,Maize,2020,2814,1010,40,24.44
350,Bindura,Maize,2020,4446,1010,40,24.44
351,Bindura,Maize,2020,63001,1010,40,24.44
352,Bindura,Maize,2020,10526,1010,40,24.44
353,Bindura,Maize,2021,133649,1010,40,24.15
354,Bindura,Maize,2021,7376,1010,40,24.15
355,Bindura,Maize,2021,81366,1010,40,24.15
356,Bindura,Maize,2021,8914,1010,40,24.15
357,Bindura,Maize,2021,3320,1010,40,24.15
358,Bindura,Maize,2021,5294,1010,40,24.15
359,Bindura,Maize,2021,65512,1010,40,24.15
360,Bindura,Maize,2021,10959,1010,40,24.15
361,Bindura,Maize,2022,100073,1010,40,24.24
362,Bindura,Maize,2022,7770,1010,40,24.24
363,Bindura,Maize,2022,69381,1010,40,24.24
364,Bindura,Maize,2022,7703,1010,40,24.24
365,Bindura,Maize,2022,998,1010,40,24.24
366,Bindura,Maize,2022,1641,1010,40,24.24
367,Bindura,Maize,2022,52954,1010,40,24.24
368,Bindura,Maize,2022,11258,1010,40,24.24
369,Bindura,Maize,2024,140517,1010,40,24.55
370,Bindura,Maize,2024,9467,1010,40,24.55
371,Bindura,Maize,2024,63303,1010,40,24.55
372,Bindura,Maize,2024,12744,1010,40,24.55
373,Bindura,Maize,2024,2415,1010,40,24.55
374,Bindura,Maize,2024,4405,1010,40,24.55
375,Bindura,Maize,2024,73409,1010,40,24.55
376,Bindura,Maize,2024,9022,1010,40,24.55
377,Bindura,Maize,2000,100000,591,26156,17.46
378,Bindura,Maize,2000,100000,591,26156,17.67
379,Bindura,Maize,2000,34608,591,26156,17.46
380,Bindura,Maize,2000,34608,591,26156,17.67
381,Bindura,Maize,2000,202747,591,26156,17.46
382,Bindura,Maize,2000,202747,591,26156,17.67
383,Bindura,Maize,2000,36709,591,26156,17.46
384,Bindura,Maize,2000,36709,591,26156,17.67
385,Bindura,Maize,2000,28116,591,26156,17.46
386,Bindura,Maize,2000,28116,591,26156,17.67
387,Bindura,Maize,2000,21566,591,26156,17.46
388,Bindura,Maize,2000,21566,591,26156,17.67
389,Bindura,Maize,2000,131864,591,26156,17.46
390,Bindura,Maize,2000,131864,591,26156,17.67
391,Bindura,Maize,2000,18947,591,26156,17.46
392,Bindura,Maize,2000,18947,591,26156,17.67
393,Bindura,Maize,2001,100000,591,26156,17.64
394,Bindura,Maize,2001,100000,591,26156,17.86
395,Bindura,Maize,2001,40444,591,26156,17.64
396,Bindura,Maize,2001,40444,591,26156,17.86
397,Bindura,Maize,2001,205692,591,26156,17.64
398,Bindura,Maize,2001,205692,591,26156,17.86
399,Bindura,Maize,2001,40294,591,26156,17.64
400,Bindura,Maize,2001,40294,591,26156,17.86
401,Bindura,Maize,2001,33320,591,26156,17.64
402,Bindura,Maize,2001,33320,591,26156,17.86
403,Bindura,Maize,2001,22750,591,26156,17.64
404,Bindura,Maize,2001,22750,591,26156,17.86
405,Bindura,Maize,2001,131364,591,26156,17.64
406,Bindura,Maize,2001,131364,591,26156,17.86
407,Bindura,Maize,2001,18972,591,26156,17.64
408,Bindura,Maize,2001,18972,591,26156,17.86
409,Bindura,Maize,2002,100000,591,26156,17.09
410,Bindura,Maize,2002,100000,591,26156,17.51
411,Bindura,Maize,2002,45237,591,26156,17.09
412,Bindura,Maize,2002,45237,591,26156,17.51
413,Bindura,Maize,2002,200039,591,26156,17.09
414,Bindura,Maize,2002,200039,591,26156,17.51
415,Bindura,Maize,2002,52075,591,26156,17.09
416,Bindura,Maize,2002,52075,591,26156,17.51
417,Bindura,Maize,2002,36217,591,26156,17.09
418,Bindura,Maize,2002,36217,591,26156,17.51
419,Bindura,Maize,2002,22915,591,26156,17.09
420,Bindura,Maize,2002,22915,591,26156,17.51
421,Bindura,Maize,2002,127273,591,26156,17.09
422,Bindura,Maize,2002,127273,591,26156,17.51
423,Bindura,Maize,2002,21809,591,26156,17.09
424,Bindura,Maize,2002,21809,591,26156,17.51
425,Bindura,Maize,2003,100000,591,26156,17.32
426,Bindura,Maize,2003,100000,591,26156,17.53
427,Bindura,Maize,2003,43552,591,26156,17.32
428,Bindura,Maize,2003,43552,591,26156,17.53
429,Bindura,Maize,2003,210314,591,26156,17.32
430,Bindura,Maize,2003,210314,591,26156,17.53
431,Bindura,Maize,2003,43559,591,26156,17.32
432,Bindura,Maize,2003,43559,591,26156,17.53
433,Bindura,Maize,2003,39529,591,26156,17.32
434,Bindura,Maize,2003,39529,591,26156,17.53
435,Bindura,Maize,2003,21589,591,26156,17.32
436,Bindura,Maize,2003,21589,591,26156,17.53
437,Bindura,Maize,2003,122955,591,26156,17.32
438,Bindura,Maize,2003,122955,591,26156,17.53
439,Bindura,Maize,2003,23272,591,26156,17.32
440,Bindura,Maize,2003,23272,591,26156,17.53
441,Bindura,Maize,2004,100000,591,30195,18.17
442,Bindura,Maize,2004,100000,591,30195,18.31
443,Bindura,Maize,2004,42371,591,30195,18.17
444,Bindura,Maize,2004,42371,591,30195,18.31
445,Bindura,Maize,2004,230166,591,30195,18.17
446,Bindura,Maize,2004,230166,591,30195,18.31
447,Bindura,Maize,2004,42989,591,30195,18.17
448,Bindura,Maize,2004,42989,591,30195,18.31
449,Bindura,Maize,2004,35065,591,30195,18.17
450,Bindura,Maize,2004,35065,591,30195,18.31
451,Bindura,Maize,2004,20386,591,30195,18.17
452,Bindura,Maize,2004,20386,591,30195,18.31
453,Bindura,Maize,2004,176667,591,30195,18.17
454,Bindura,Maize,2004,176667,591,30195,18.31
455,Bindura,Maize,2004,20237,591,30195,18.17
456,Bindura,Maize,2004,20237,591,30195,18.31
457,Bindura,Maize,2005,100000,591,37842,17.74
458,Bindura,Maize,2005,100000,591,37842,17.62
459,Bindura,Maize,2005,45223,591,37842,17.74
460,Bindura,Maize,2005,45223,591,37842,17.62
461,Bindura,Maize,2005,274272,591,37842,17.74
462,Bindura,Maize,2005,274272,591,37842,17.62
463,Bindura,Maize,2005,50306,591,37842,17.74
464,Bindura,Maize,2005,50306,591,37842,17.62
465,Bindura,Maize,2005,34588,591,37842,17.74
466,Bindura,Maize,2005,34588,591,37842,17.62
467,Bindura,Maize,2005,20446,591,37842,17.74
468,Bindura,Maize,2005,20446,591,37842,17.62
469,Bindura,Maize,2005,168000,591,37842,17.74
470,Bindura,Maize,2005,168000,591,37842,17.62
471,Bindura,Maize,2005,21675,591,37842,17.74
472,Bindura,Maize,2005,21675,591,37842,17.62
473,Bindura,Maize,2006,100000,591,54595,17.64
474,Bindura,Maize,2006,100000,591,54595,17.97
475,Bindura,Maize,2006,40397,591,54595,17.64
476,Bindura,Maize,2006,40397,591,54595,17.97
477,Bindura,Maize,2006,228877,591,54595,17.64
478,Bindura,Maize,2006,228877,591,54595,17.97
479,Bindura,Maize,2006,51031,591,54595,17.64
480,Bindura,Maize,2006,51031,591,54595,17.97
481,Bindura,Maize,2006,38763,591,54595,17.64
482,Bindura,Maize,2006,38763,591,54595,17.97
483,Bindura,Maize,2006,21051,591,54595,17.64
484,Bindura,Maize,2006,21051,591,54595,17.97
485,Bindura,Maize,2006,170000,591,54595,17.64
486,Bindura,Maize,2006,170000,591,54595,17.97
487,Bindura,Maize,2006,19344,591,54595,17.64
488,Bindura,Maize,2006,19344,591,54595,17.97
489,Bindura,Maize,2007,100000,591,77691,18.29
490,Bindura,Maize,2007,100000,591,77691,18.54
491,Bindura,Maize,2007,45557,591,77691,18.29
492,Bindura,Maize,2007,45557,591,77691,18.54
493,Bindura,Maize,2007,268502,591,77691,18.29
494,Bindura,Maize,2007,268502,591,77691,18.54
495,Bindura,Maize,2007,53703,591,77691,18.29
496,Bindura,Maize,2007,53703,591,77691,18.54
497,Bindura,Maize,2007,36845,591,77691,18.29
498,Bindura,Maize,2007,36845,591,77691,18.54
499,Bindura,Maize,2007,17212,591,77691,18.29
500,Bindura,Maize,2007,17212,591,77691,18.54
501,Bindura,Maize,2007,145662,591,77691,18.29
502,Bindura,Maize,2007,145662,591,77691,18.54
503,Bindura,Maize,2007,22426,591,77691,18.29
504,Bindura,Maize,2007,22426,591,77691,18.54
505,Bindura,Maize,2008,100000,591,62397,17.23
506,Bindura,Maize,2008,100000,591,62397,17.52
507,Bindura,Maize,2008,60780,591,62397,17.23
508,Bindura,Maize,2008,60780,591,62397,17.52
509,Bindura,Maize,2008,293744,591,62397,17.23
510,Bindura,Maize,2008,293744,591,62397,17.52
511,Bindura,Maize,2008,47762,591,62397,17.23
512,Bindura,Maize,2008,47762,591,62397,17.52
513,Bindura,Maize,2008,48105,591,62397,17.23
514,Bindura,Maize,2008,48105,591,62397,17.52
515,Bindura,Maize,2008,26937,591,62397,17.23
516,Bindura,Maize,2008,26937,591,62397,17.52
517,Bindura,Maize,2008,175055,591,62397,17.23
518,Bindura,Maize,2008,175055,591,62397,17.52
519,Bindura,Maize,2008,26088,591,62397,17.23
